product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_317546,,,,,,,,,,2g,0,0,0,0,0,0,0,0,780
BP_317583,,,,,,,,,,5.8g,12,0.2,0.9,0.08,0,1,0.3,0.6,322
BP_317584,,,,,,,,,,19.2g,19,0.2,0.13,0,0,4.5,0.4,3.3,674
BP_317589,,,,,,,,,,35g,23,0.6,0,0,0,4.8,2,2.5,732
BP_317590,,,,,,,,,,35g,14,0.5,0.3,0,0,2.3,1.3,0.6,709
BP_317591,,,,,,,,,,15ml,117,0,13,2,0,0,0,0,1
BP_317610,375,7.5,0.8,0.4,0,84.4,1.6,0,7,50 g,187,3.7,0.4,0.2,0,42.2,0.8,0,3.5
BP_317927,37,0,0,0,0,9.3,,8.3,0,,,,,,,,,,
BP_31815,343,83.2,1.1,0,0,0,,0,60,,,,,,,,,,
BP_318415,,,,,,,,,,,,,,,,,,,
BP_318479,368,0.9,0,0,0,89,,6.5,11,0.5 g,2,0.01,0,0,0,0.45,,0.03,0.06
BP_318485,,,,,,,,,,200 g,252,6,1,0,0,63.4,6.6,0,200
BP_318807,56,3.2,2.3,0.4,0,5.5,,5,10,,,,,,,,,,
BP_31881,305,63.7,2.8,0,0,6.2,,0,2032,,,,,,,,,,
BP_31893,212,7.2,1.9,0,0,41.5,,28.2,0,,,,,,,,,,
BP_318959,44,0.1,0.1,0,0,10.4,0.1,10,8,,,,,,,,,,
BP_318980,44,0.1,0.1,0,0,10.4,0.1,10,8,,,,,,,,,,
BP_319951,,,,,,,,,,100ml,820,0,92,13,0,0,,0,0
BP_319958,,,,,,,,,,100ml,828,0,92,13,0,0,,0,0
BP_321183,,,,,,,,,,110 g,450,9,14,7,0,73,1,4,
BP_321406,421,8.2,13,6.5,0,67.7,,2.3,1900,120g,505,9.8,15.6,7.8,0,81.2,,2.8,2280
BP_321606,423,7.8,13.7,7.8,0,64.7,0,3.9,1843,51g,215.8,4,7,4,0,33,0,2,940
BP_321678,350,10.6,1.2,0.3,0,73,2.9,4.1,3,,,,,,,,,,
BP_321679,336,11.5,2.3,0.5,0,66.3,7.4,3,10,,,,,,,,,,
BP_321680,345,11.9,1.2,0.2,0,70.6,3.5,2.9,10,,,,,,,,,,
BP_322021,,,,,,,,,,10 g,14,0.5,0,0,0,2.9,,2.1,438
BP_322314,,,,,,,,,,15ml,120,0,14,1.5,0,0,,0,0
BP_322334,,,,,,,,,,105g,470,7,21,11,0,63,,7,1190
BP_322980,,,,,,,,,,15ml,15,1.6,0,0,0,1.9,,0.2,945
BP_322981,,,,,,,,,,15ml,14,1.3,0,0,0,1.7,,0.2,750
BP_323043,356,23.7,2.8,1,0,61,2,3.7,1700,,,,,,,,,,
BP_323722,,,,,,,,,,38g,80,1,4,2,0,10,1,4,40
BP_323725,,,,,,,,,,5g,4,0.2,0,0,0,0.7,0,0.3,135
BP_323881,90.4,4.6,0,0,0,18,,14.62,2867,,,,,,,,,,
BP_324639,246,15.5,3,0.37,0.04,9.13,1.15,0.67,1160,,,,,,,,,,
BP_324848,37,0,0,0,0,9.2,,8.8,0,,,,,,,,,,
BP_326371,464,14.3,16.1,3.6,0,64.3,3.6,17.9,446,,,,,,,,,,
BP_326372,,,,,,,,,,32g,150,3,6,1.5,0,21,1,,110
BP_326530,260,8.3,3.3,0.7,0,49.3,,3.6,370,90g,234,7.5,3,0.6,0,44.4,,3.2,333
BP_326531,260,8.3,3.3,0.7,0,49.3,,3.6,370,35g,91,2.9,1.2,0.2,0,17.3,,1.3,130
BP_326694,526,10,44,39.3,0,22.5,,1.9,37,0.06g,,,,,,,,,
BP_326695,684,9.7,67.4,61.5,0,9.7,,2,17,0.06g,,,,,,,,,
BP_326730,660,9.5,62.7,57.2,0,14.3,,2.1,26,0.06g,,,,,,,,,
BP_326763,398,13,9.4,4.5,0.1,64,2.8,11,980,,,,,,,,,,
BP_326974,160,10.2,10.8,4.2,0,5.4,,2.4,556,,,,,,,,,,
BP_326975,,,,,,,,,,5ml,6,0.1,0,0,0,1.3,0,1.3,458
BP_327089,,,,,,,,,,15ml,10,2,0,0,0,0,0,0,1520
BP_327659,,,,,,,,,,25 ml,31,0,0,0,0,7.6,,5,1
